Make,Model,Configuration,Rating,Price,Registered,Kilometers,Fuel,Consumption,Tax,Power,Transmission,TowCapacity,PriceNew,Trunk,Width,Length,Height
Ford,Kuga,"2,5 PHEV Vignale CVT 5d",4.4,226.300 kr.,7/2020,83.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,326.009 kr.,411 liter,188 cm,461 cm,166 cm
Peugeot,3008,"1,6 Hybrid First Selection EAT8 5d",4.4,199.900 kr.,2/2021,80.000 km,Plug-in hybrid Benzin,"(NEDC) 86,4 km/l",840 kr. / år,225 hk/360 nm,Automatisk,1.250 kg,340.907 kr.,395 liter,184 cm,445 cm,162 cm
VW,Passat,"1,4 GTE Variant DSG 5d",4.3,239.000 kr.,5/2020,83.000 km,Plug-in hybrid Benzin,"(NEDC) 34,3 km/l",1.080 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,415.912 kr.,483 liter,183 cm,477 cm,152 cm
Ford,Kuga,"2,5 PHEV Vignale CVT 5d",·,259.900 kr.,11/2021,36.000 km,Plug-in hybrid Benzin,"(NEDC) 46,1 km/l",840 kr. / år,225 hk/-,Automatisk,1.500 kg,398.467 kr.,411 liter,188 cm,461 cm,166 cm
VW,Golf VIII,"1,4 eHybrid DSG 5d",4.6,209.900 kr.,2/2021,72.000 km,Plug-in hybrid Benzin,"(NEDC) 50,2 km/l",840 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,315.815 kr.,280 liter,179 cm,428 cm,146 cm
Skoda,Octavia,"1,4 TSi iV Plus DSG 5d",4.5,213.900 kr.,6/2021,71.000 km,Plug-in hybrid Benzin,"(WLTP) 100,0 km/l",940 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,315.815 kr.,450 liter,183 cm,469 cm,149 cm
Ford,Kuga,"2,5 PHEV Vignale CVT 5d",4.4,239.800 kr.,12/2020,56.500 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,326.009 kr.,411 liter,188 cm,461 cm,166 cm
Peugeot,208,"1,5 BlueHDi 100 Active 5d",4.2,79.900 kr.,5/2020,74.400 km,Diesel,"(WLTP) 21,7 km/l",1.400 kr. / år,100 hk/250 nm,Manuel,1.150 kg,160.911 kr.,309 liter,175 cm,,
VW,Passat,"1,4 GTE Highline+ Variant DSG 5d",4.3,179.999 kr.,10/2017,136.000 km,Plug-in hybrid Benzin,"(WLTP) 50,0 km/l",1.160 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,-,483 liter,183 cm,477 cm,148 cm
Skoda,Superb,"1,4 TSi iV Combi DSG 5d",4.6,234.990 kr.,12/2021,129.000 km,Plug-in hybrid Benzin,"(WLTP) 90,9 km/l",840 kr. / år,218 hk/400 nm,Automatisk,1.600 kg,413.389 kr.,510 liter,186 cm,486 cm,151 cm
Renault,Kadjar,"1,5 dCi 110 Zen 5d",4.4,98.900 kr.,6/2017,168.000 km,Diesel,"(NEDC) 26,3 km/l",1.860 kr. / år,110 hk/260 nm,Manuel,1.350 kg,272.585 kr.,-,184 cm,,
Ford,Kuga,"2,5 PHEV ST-Line X CVT 5d",4.4,164.500 kr.,6/2020,167.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,306.008 kr.,411 liter,188 cm,461 cm,166 cm
Ford,Kuga,"2,5 PHEV Vignale CVT 5d",4.4,174.500 kr.,8/2020,162.000 km,Plug-in hybrid Benzin,"(NEDC) 37,5 km/l",1.040 kr. / år,225 hk/-,Automatisk,1.200 kg,326.009 kr.,411 liter,188 cm,461 cm,166 cm
VW,Golf VIII,"1,4 GTE DSG 5d",4.6,248.900 kr.,2/2021,68.000 km,Plug-in hybrid Benzin,"(NEDC) 43,0 km/l",980 kr. / år,245 hk/400 nm,Automatisk,1.500 kg,340.814 kr.,280 liter,179 cm,428 cm,146 cm
Ford,Kuga,"2,5 PHEV ST-Line CVT 5d",4.4,186.900 kr.,7/2021,93.000 km,Plug-in hybrid Benzin,"(WLTP) 71,4 km/l",840 kr. / år,225 hk/-,Automatisk,1.500 kg,320.523 kr.,411 liter,188 cm,461 cm,166 cm
VW,Golf VIII,"1,4 eHybrid DSG 5d",4.6,229.995 kr.,12/2020,50.000 km,Plug-in hybrid Benzin,"(WLTP) 111,1 km/l",940 kr. / år,204 hk/350 nm,Automatisk,1.500 kg,315.815 kr.,280 liter,179 cm,428 cm,146 cm
