Make,Configuration,Price (DKK),Year,Kilometers,Fuel Consumption (km/l),Transmission,Fuel Type
Citroën C4,"1,6 BlueHDi 120 Feel EAT6 5d",69900,7/2015,201000,27.0,Automatisk gear,Diesel
Citroën C4,"1,6 BlueHDi 100 Cool 5d",74900,1/2018,120000,30.3,Manuelt gear,Diesel
Citroën C4,"1,6 BlueHDi 100 Challenge 5d",59900,6/2018,186000,30.3,Manuelt gear,Diesel
Citroën C4,"1,5 BlueHDi 130 Shine EAT8 5d",154900,8/2021,123700,26.3,Automatisk gear,Diesel
Citroën C4,"1,2 PureTech 130 Feel EAT8 5d",179900,1/2022,108000,20.9,Automatisk gear,Benzin
Citroën C4,"1,6 BlueHDi 120 Iconic EAT6 5d",99800,3/2018,97000,26.3,Automatisk gear,Diesel
Citroën C4,"1,6 BlueHDi 120 Millesime 5d",69900,4/2018,182000,27.8,Manuelt gear,Diesel
Citroën C4,"1,2 PureTech 130 Feel EAT6 5d",74800,10/2015,115000,20.8,Automatisk gear,Benzin
Citroën C4,"1,2 PureTech 130 Shine EAT8 5d",194700,11/2022,25000,20.9,Automatisk gear,Benzin
Citroën C4,"1,5 BlueHDi 130 Shine Sport EAT8 5d",169900,3/2021,98000,26.3,Automatisk gear,Diesel
Citroën C4,"1,6 BlueHDi 120 Challenge EAT6 5d",59500,7/2017,219200,26.3,Automatisk gear,Diesel
Citroën C4,"1,2 PureTech 130 Feel EAT8 5d",174900,8/2021,78289,20.9,Automatisk gear,Benzin
Citroën C4,"1,6 e-HDi 112 Seduction E6G 5d",29900,6/2011,375000,23.8,Automatisk gear,Diesel
Citroën C4,"1,6 e-HDi 112 Seduction E6G 5d",59999,1/2012,148000,23.8,Automatisk gear,Diesel
Citroën C4,"1,6 HDi 90 Attraction 5d",34900,4/2011,222000,23.8,Manuelt gear,Diesel
Citroën C4,"1,6 e-HDi 112 Seduction 5d",26500,5/2012,240000,23.8,Manuelt gear,Diesel
Citroën C4,"1,6 e-HDi 112 Seduction 5d",24900,6/2011,277000,21.7,Manuelt gear,Diesel
Citroën C4,"1,5 BlueHDi 130 Shine Sport EAT8 5d",184900,5/2021,75000,26.3,Automatisk gear,Diesel
Citroën C4,"1,6 BlueHDi 120 Feel 5d",74900,1/2017,185000,27.8,Manuelt gear,Diesel
Citroën C4,"1,6 BlueHDi 100 Challenge 5d",69900,12/2016,189000,30.3,Manuelt gear,Diesel
